Manufacturer,Category,Screen Size,RAM,Storage,Operating System,Weight,Price,Screen Name
Other Manufacturer,Ultrabook,13.3,8.0,128,MacOS,1.37,11912523.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,128,MacOS,1.34,7993374.0,IPS Panel Retina Display
HP,Notebook,15.6,8.0,256,MacOS,1.86,5112900.0,Full HD
Other Manufacturer,Ultrabook,15.4,14.0,512,MacOS,1.83,22563005.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.37,16037611.0,IPS Panel Retina Display
Acer,Notebook,15.6,4.0,500,Windows,2.1,3556800.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,15.4,14.0,256,MacOS,2.04,19028613.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.34,10303160.0,IPS Panel Retina Display
Asus,Ultrabook,14.0,14.0,512,Windows,1.3,13293540.0,Full HD
Acer,Ultrabook,14.0,8.0,256,Windows,1.6,6846840.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,500,MacOS,1.86,3502559.0,Full HD
HP,Notebook,15.6,4.0,500,MacOS,1.86,3067651.0,Full HD
Other Manufacturer,Ultrabook,15.4,14.0,256,MacOS,1.83,21696213.0,IPS Panel Retina Display
Dell,Notebook,15.6,4.0,256,Windows,2.2,4436219.0,Full HD
Other Manufacturer,Ultrabook,12.0,8.0,256,MacOS,0.92,11225261.0,IPS Panel Retina Display
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.37,13502947.0,IPS Panel Retina Display
Dell,Notebook,15.6,8.0,256,Windows,2.2,6624540.0,Full HD
Other Manufacturer,Ultrabook,15.4,14.0,512,MacOS,1.83,24958343.625,IPS Panel Retina Display
Lenovo,Notebook,15.6,8.0,1,MacOS,2.2,4437108.0,Full HD
Dell,Ultrabook,13.3,8.0,128,Windows,1.22,8705268.0,IPS Panel Full HD / Touchscreen
Asus,Netbook,11.600000000000001,2.0,32,Windows,0.98,1706375.0,Full HD
Lenovo,Gaming,15.6,8.0,128,Windows,2.5,8883108.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,500,MacOS,1.86,2294136.0,Full HD
Dell,2 in 1 Convertible,13.3,8.0,256,Windows,1.62,7282548.0,Full HD / Touchscreen
HP,Ultrabook,15.6,8.0,256,Windows,1.91,5859828.0,Full HD
Dell,Notebook,15.6,4.0,1,Windows,2.3,3722547.0,Full HD / Touchscreen
Other Manufacturer,Ultrabook,13.3,8.0,128,MacOS,1.35,9772308.0,IPS Panel Retina Display
Dell,Notebook,15.6,8.0,256,Windows,2.2,7113600.0,Full HD
Dell,Ultrabook,15.6,8.0,256,Windows,1.88,11541816.0,Full HD
HP,Notebook,17.3,8.0,1,Windows,2.5,7967232.0,Full HD
Other Manufacturer,Notebook,15.6,4.0,64,Windows,1.89,2178451.0,Full HD
Asus,Notebook,14.0,2.0,32,Windows,1.65,1769508.0,Full HD
HP,Notebook,17.3,4.0,500,Windows,2.71,3903588.0,Full HD
Dell,Ultrabook,13.3,14.0,512,Windows,1.2,16619148.0,Other Screen Name
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.35,8874216.0,IPS Panel Retina Display
Lenovo,Notebook,14.0,4.0,64,Windows,1.44,2214108.0,IPS Panel Full HD
Acer,Notebook,15.6,4.0,1,Linux,2.1,3263364.0,IPS Panel Full HD
Dell,Notebook,17.3,8.0,128,Windows,2.8,8705268.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,1,Windows,1.86,4345431.0,Full HD
HP,Notebook,15.6,8.0,256,Windows,2.1,7816068.0,Full HD
Asus,Notebook,15.6,4.0,1,Linux,2.0,3458988.0,Full HD
Dell,Gaming,15.6,14.0,256,Windows,2.65,13329108.0,IPS Panel Full HD
Asus,Notebook,15.6,8.0,1,Linux,2.3,4650427.0,Full HD
Acer,Notebook,15.6,4.0,256,Windows,2.2,6064344.0,IPS Panel Full HD
Dell,2 in 1 Convertible,17.3,12.0,1,Windows,2.77,8883108.0,Full HD / Touchscreen
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.37,12617748.0,IPS Panel Retina Display
Lenovo,Notebook,15.6,4.0,128,MacOS,2.2,3281148.0,IPS Panel Full HD
Asus,Gaming,17.3,8.0,256,Windows,3.2,11550708.0,Full HD
Dell,Notebook,15.6,4.0,256,Windows,2.3,5681988.0,Full HD
Asus,Notebook,17.3,4.0,1,Windows,2.8,4143672.0,Full HD
Lenovo,2 in 1 Convertible,11.600000000000001,4.0,64,Android,0.69,2836548.0,Other Screen Name
Acer,Notebook,15.6,8.0,256,Windows,2.2,7478172.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,256,Windows,1.86,3543373.0,Full HD
HP,Notebook,13.3,8.0,512,Windows,1.49,9807876.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.4,3414528.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.13,6827278.0,Full HD
HP,Notebook,15.6,4.0,128,Windows,1.91,3903588.0,Full HD
Asus,Notebook,15.6,4.0,256,Windows,2.0,5212401.0,Full HD
MSI,Gaming,17.3,14.0,256,Windows,2.43,21776508.0,Full HD
Asus,Notebook,15.6,4.0,256,Linux,2.0,3690180.0,Full HD
Dell,Notebook,17.3,14.0,256,Windows,2.8,11550708.0,Full HD
Dell,Ultrabook,14.0,8.0,256,Windows,1.7,7816068.0,Full HD
Lenovo,Notebook,14.0,8.0,256,MacOS,1.7,5326308.0,IPS Panel Full HD
Asus,Notebook,14.0,8.0,256,Windows,1.4,8367372.0,Full HD
HP,Notebook,15.6,8.0,256,Windows,1.86,6135480.0,Full HD
Asus,Ultrabook,15.6,14.0,512,Windows,1.8,17632836.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,1.86,3900831.0,Full HD
HP,Notebook,14.0,4.0,32,Windows,1.44,2036268.0,Full HD
Lenovo,Notebook,15.6,4.0,1,Windows,1.9,4881708.0,Full HD
Asus,Gaming,17.3,12.0,1,Linux,3.0,8438508.0,Full HD
Other Manufacturer,Ultrabook,13.5,4.0,128,Windows,1.252,9683388.0,Touchscreen
Dell,Ultrabook,13.3,8.0,256,Windows,1.4,8491860.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.2,7736040.0,Full HD
MSI,Gaming,17.3,8.0,128,Windows,2.7,9736740.0,Full HD
Acer,Notebook,14.0,8.0,1,Windows,2.1,3458988.0,IPS Panel Full HD
Asus,Gaming,15.6,8.0,1,Windows,2.2,8438508.0,Full HD
Lenovo,Notebook,15.6,8.0,2,MacOS,2.2,4614948.0,Full HD
Dell,Notebook,15.6,8.0,128,Windows,2.02,7602660.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.2,4712760.0,Full HD
HP,Notebook,17.3,8.0,128,Windows,2.5,8687484.0,Full HD
Dell,Ultrabook,15.6,8.0,256,Windows,1.88,9747055.0,IPS Panel Full HD
Other Manufacturer,Ultrabook,12.0,8.0,512,MacOS,0.92,13426920.0,IPS Panel Retina Display
HP,Notebook,14.0,8.0,256,Windows,1.63,7647120.0,Full HD
Lenovo,Notebook,15.6,4.0,128,Windows,2.2,3547908.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.1,3512340.0,Full HD
Dell,Gaming,15.6,14.0,128,Windows,2.65,11995308.0,IPS Panel Full HD
HP,Ultrabook,15.6,8.0,256,Windows,1.83,6215508.0,IPS Panel Full HD
HP,Notebook,15.6,8.0,256,Windows,1.96,5326219.0,Full HD
Asus,Gaming,15.6,14.0,128,Windows,2.2,12884508.0,IPS Panel Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.21,14662908.0,IPS Panel Full HD
Asus,Gaming,15.6,8.0,1,Windows,2.45,6215508.0,Full HD
Acer,Notebook,15.6,8.0,1,Windows,2.2,6126588.0,Full HD
HP,Notebook,13.3,14.0,512,Windows,1.49,10643724.0,Full HD
Dell,Gaming,15.6,8.0,256,Windows,2.65,10625940.0,Full HD
Asus,Ultrabook,14.0,8.0,256,Windows,1.25,9327708.0,Full HD
Acer,2 in 1 Convertible,13.3,8.0,256,Windows,1.5,7531524.0,IPS Panel Full HD / Touchscreen
Dell,Notebook,15.6,8.0,1,Linux,2.2,5334311.0,Full HD
Dell,Notebook,15.6,4.0,256,Linux,2.2,4312620.0,Full HD
Asus,Notebook,15.6,6.0,256,Windows,2.0,5130684.0,Full HD
HP,Gaming,15.6,12.0,128,Windows,2.62,11106108.0,IPS Panel Full HD
HP,Notebook,15.6,8.0,256,Windows,1.91,6393348.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,2.1,3103308.0,Full HD
Dell,Notebook,15.6,8.0,1,Linux,2.2,5753124.0,Full HD
HP,Ultrabook,13.3,8.0,256,Windows,1.38,9950148.0,IPS Panel Full HD
Other Manufacturer,Ultrabook,13.5,8.0,256,Windows,1.252,11915280.0,Touchscreen
HP,Notebook,14.0,6.0,256,Windows,1.58,5859828.0,IPS Panel Full HD
Lenovo,Notebook,15.6,4.0,1,Windows,1.85,3689291.0,Full HD
Asus,Ultrabook,14.0,8.0,256,Windows,1.3,10608156.0,IPS Panel Full HD
MSI,Gaming,15.6,14.0,256,Windows,2.2,11550708.0,Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.58,13160160.0,IPS Panel Full HD
Asus,Ultrabook,15.6,14.0,256,Windows,1.5,11221704.0,Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.23,12262068.0,Quad HD+ / Touchscreen
Lenovo,2 in 1 Convertible,13.3,8.0,256,Windows,1.37,12439908.0,IPS Panel Full HD / Touchscreen
HP,Notebook,14.0,4.0,500,Windows,1.63,6420024.0,Other Screen Name
Dell,Ultrabook,13.3,8.0,256,Windows,1.21,14485068.0,IPS Panel Full HD
HP,2 in 1 Convertible,13.3,8.0,256,Windows,1.26,12439819.0,IPS Panel Full HD / Touchscreen
HP,Notebook,14.0,8.0,512,Windows,1.63,9638928.0,Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.16,10050894.0,IPS Panel Full HD
Asus,Notebook,17.3,4.0,1,Windows,2.0,5015088.0,Full HD
Asus,Notebook,15.6,8.0,256,Windows,1.7,9941256.0,Full HD
Acer,Notebook,15.6,6.0,1,Windows,2.1,4259268.0,IPS Panel Full HD / Touchscreen
MSI,Gaming,15.6,14.0,256,Windows,1.8,19931418.0,Full HD
Lenovo,Notebook,15.6,8.0,256,MacOS,2.2,5593068.0,Full HD
HP,Notebook,17.3,14.0,512,Windows,2.5,11301732.0,Full HD
Acer,Notebook,15.6,4.0,256,Windows,2.1,4010292.0,IPS Panel Full HD / Touchscreen
HP,Notebook,15.6,4.0,500,MacOS,1.86,2303028.0,Full HD
HP,Notebook,14.0,8.0,1,Windows,1.63,7220304.0,Full HD
Asus,Notebook,14.0,4.0,64,Windows,1.65,2471887.0,Full HD
Dell,Notebook,17.3,14.0,256,Windows,2.8,12413232.0,Full HD
HP,Notebook,17.3,8.0,256,Windows,2.5,8251776.0,Full HD
Dell,Notebook,15.6,8.0,1,Windows,2.36,5681899.0,Full HD
Dell,Notebook,15.6,4.0,1,Windows,2.2,3992508.0,Full HD
Acer,Ultrabook,14.0,8.0,256,Windows,1.6,7860528.0,IPS Panel Full HD
Acer,Notebook,15.6,4.0,256,Windows,2.2,5086224.0,Full HD
HP,Notebook,15.6,8.0,1,Windows,2.05,5317416.0,Full HD
HP,Notebook,14.0,8.0,256,Windows,1.63,8785296.0,Full HD
Lenovo,Notebook,15.6,4.0,1,MacOS,1.9,2243985.0,Full HD
Asus,Gaming,17.3,8.0,128,Windows,3.0,8340696.0,Full HD
Lenovo,Notebook,15.6,4.0,1,MacOS,2.2,4437108.0,Full HD
HP,Notebook,13.3,4.0,256,Windows,1.32,6215508.0,IPS Panel Full HD
Acer,Notebook,17.3,4.0,1,Windows,3.0,5824260.0,IPS Panel Full HD
Lenovo,Notebook,14.0,8.0,256,Windows,1.75,9923650.0,IPS Panel Full HD
Lenovo,Gaming,15.6,8.0,256,MacOS,2.4,7727148.0,IPS Panel Full HD
Toshiba,Notebook,15.6,4.0,500,Windows,2.1,5352984.0,IPS Panel Full HD
HP,Notebook,15.6,4.0,256,Windows,1.86,3281148.0,IPS Panel Full HD
Asus,Ultrabook,14.0,8.0,256,Windows,1.25,9772308.0,Full HD
HP,Ultrabook,12.5,8.0,512,Windows,0.97,17908488.0,Other Screen Name
Asus,Notebook,15.6,4.0,1,Windows,2.0,3058848.0,Full HD
MSI,Gaming,17.3,14.0,256,Windows,2.9,18041868.0,Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.1,3974724.0,IPS Panel Full HD
Dell,Gaming,15.6,14.0,512,Windows,2.56,11108420.0,Full HD
Dell,Gaming,15.6,8.0,1,Windows,2.62,7993908.0,Full HD
Lenovo,Notebook,15.6,4.0,128,Windows,1.9,4428216.0,IPS Panel Full HD
MSI,Gaming,17.3,14.0,256,Windows,2.8,16805880.0,Full HD
HP,Ultrabook,14.0,4.0,256,Windows,1.48,9621144.0,Full HD
HP,Notebook,15.6,6.0,256,Windows,1.91,5504148.0,Full HD
Lenovo,2 in 1 Convertible,14.0,4.0,256,Windows,1.74,5593068.0,IPS Panel Full HD / Touchscreen
Asus,2 in 1 Convertible,13.3,8.0,256,Windows,1.1,11692980.0,Full HD / Touchscreen
Dell,2 in 1 Convertible,15.6,8.0,256,Windows,1.56,9327708.0,Full HD / Touchscreen
Toshiba,Notebook,15.6,4.0,500,Windows,2.1,3974724.0,Full HD / Touchscreen
Asus,Notebook,15.6,4.0,1,Windows,2.03,3583476.0,Full HD / Touchscreen
Acer,Notebook,17.3,4.0,256,Windows,3.0,7158060.0,IPS Panel Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.13,6473376.0,Full HD
Lenovo,Gaming,15.6,14.0,256,Windows,2.5,9594468.0,IPS Panel Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.1,3094416.0,IPS Panel Full HD
MSI,Gaming,15.6,14.0,256,Windows,2.4,15996708.0,IPS Panel Full HD
Acer,Notebook,15.6,4.0,1,Windows,2.1,3232331.0,IPS Panel Full HD
Dell,Gaming,15.6,8.0,128,Windows,2.56,9429877.0,Full HD
Acer,Notebook,17.3,8.0,256,Windows,3.0,7593768.0,IPS Panel Full HD
HP,Notebook,13.3,4.0,500,Windows,1.49,6704568.0,IPS Panel Full HD
Other Manufacturer,Ultrabook,13.0,8.0,256,Windows,1.05,11995308.0,IPS Panel Full HD
HP,Notebook,17.3,6.0,2,Windows,2.71,6215508.0,IPS Panel Full HD
Lenovo,Notebook,15.6,4.0,500,MacOS,2.2,2747628.0,IPS Panel Full HD
Toshiba,Notebook,15.6,4.0,500,Windows,2.0,4348188.0,Full HD
HP,Notebook,17.3,8.0,256,Windows,2.5,8207316.0,Full HD
Dell,Notebook,15.6,8.0,1,Windows,2.3,4081428.0,Full HD
Acer,Notebook,15.6,4.0,128,Windows,2.1,3992508.0,IPS Panel Full HD
MSI,Gaming,18.0,14.0,512,Windows,3.5250000000000004,24888708.0,Full HD
Lenovo,Notebook,15.6,8.0,128,Windows,1.9,7229196.0,Full HD
HP,2 in 1 Convertible,13.3,8.0,256,Windows,1.29,13329108.0,Other Screen Name
Dell,Notebook,15.6,14.0,256,Linux,2.02,9327708.0,Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.23,12439908.0,Full HD
Lenovo,2 in 1 Convertible,13.9,14.0,512,Windows,1.4,16441308.0,Other Screen Name
Toshiba,Notebook,15.6,8.0,128,Windows,2.0,7051356.0,IPS Panel Full HD
Other Manufacturer,Notebook,15.6,8.0,256,MacOS,1.95,10661508.0,IPS Panel Full HD
Dell,Notebook,17.3,14.0,512,Windows,2.77,13773708.0,Full HD / Touchscreen
Dell,Notebook,15.6,14.0,512,Windows,2.06,21314124.0,Other Screen Name
Lenovo,Gaming,15.6,8.0,256,MacOS,2.4,6926868.0,IPS Panel Full HD
Acer,Ultrabook,13.3,8.0,256,Windows,1.12,8794188.0,IPS Panel Full HD
Dell,Notebook,17.3,8.0,128,Windows,2.8,9647820.0,Full HD
Lenovo,2 in 1 Convertible,14.0,14.0,1,Windows,1.42,24958343.625,Touchscreen
Other Manufacturer,Notebook,14.0,4.0,32,Windows,1.3,2311920.0,IPS Panel Full HD
Other Manufacturer,Ultrabook,13.3,8.0,256,MacOS,1.3,8891111.0,IPS Panel Full HD
Lenovo,Notebook,17.3,8.0,256,MacOS,2.8,6206616.0,Touchscreen
Dell,2 in 1 Convertible,13.3,8.0,1,Windows,1.62,7460388.0,IPS Panel Full HD / Touchscreen
HP,Notebook,17.3,8.0,1,Windows,2.5,8127288.0,IPS Panel Full HD
Other Manufacturer,Gaming,17.3,14.0,1,Windows,3.49,24958343.625,Other Screen Name
HP,Notebook,13.3,8.0,512,Windows,1.49,8527428.0,Full HD
HP,Gaming,17.3,14.0,256,Windows,3.35,12262068.0,IPS Panel Full HD
HP,Notebook,17.3,8.0,256,Windows,2.5,9292140.0,Full HD
Dell,Gaming,15.6,14.0,512,Windows,2.65,16405740.0,Other Screen Name
Lenovo,Notebook,15.6,4.0,128,Windows,2.1,4383756.0,Touchscreen
Acer,Notebook,15.6,8.0,1,Windows,2.23,6597864.0,Full HD
Lenovo,Gaming,15.6,14.0,512,Windows,3.2,15552108.0,IPS Panel Full HD
Dell,Workstation,15.6,14.0,256,Windows,2.8,24958343.625,Other Screen Name
Lenovo,Gaming,15.6,14.0,512,MacOS,2.4,12431016.0,Full HD
Dell,Notebook,15.6,6.0,1,Windows,2.3,3903588.0,Touchscreen
Dell,Ultrabook,13.3,8.0,256,Windows,1.21,17330508.0,Other Screen Name
Dell,Ultrabook,13.3,8.0,256,Windows,1.2,12884508.0,Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.2,5308524.0,Full HD
Acer,Notebook,15.6,8.0,1,Linux,2.4,6926868.0,Full HD
Asus,Gaming,17.3,14.0,256,Windows,2.9,12511044.0,Full HD
HP,Notebook,15.6,4.0,500,MacOS,2.1,3103308.0,Full HD
Lenovo,Notebook,15.6,8.0,256,MacOS,2.2,4881708.0,Full HD
Other Manufacturer,Ultrabook,13.0,8.0,512,Windows,1.05,13329108.0,IPS Panel Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.4,8286277.0,IPS Panel Full HD
Lenovo,Notebook,17.3,8.0,1,MacOS,2.8,5237388.0,Full HD
HP,Notebook,14.0,8.0,256,Windows,1.63,9167652.0,Full HD
Dell,Ultrabook,14.0,8.0,256,Windows,1.6,10216908.0,Full HD
Dell,2 in 1 Convertible,13.3,14.0,512,Windows,1.62,11372868.0,Full HD / Touchscreen
Dell,Notebook,15.6,8.0,256,Linux,2.2,6022996.0,Full HD
Lenovo,2 in 1 Convertible,14.0,8.0,256,Windows,1.74,7993908.0,IPS Panel Full HD
Toshiba,Ultrabook,13.3,8.0,256,Windows,1.2,12119796.0,Full HD
HP,Notebook,15.6,8.0,1,Windows,2.1,7060248.0,Full HD
Dell,Gaming,17.3,14.0,256,Windows,3.5250000000000004,21841775.0,IPS Panel Full HD
Acer,Notebook,15.6,8.0,256,Windows,2.2,7398144.0,Full HD
Dell,Notebook,15.6,14.0,1,Windows,2.3,7638317.0,Full HD / Touchscreen
Asus,Notebook,15.6,8.0,256,Windows,2.0,6837948.0,Full HD
Asus,Notebook,17.3,8.0,256,Windows,2.69,7922772.0,Full HD
HP,Notebook,15.6,8.0,1,Windows,1.9,11283948.0,Full HD
Asus,Notebook,15.6,4.0,1,Windows,2.37,3547819.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,2.1,2934360.0,Full HD
Lenovo,Gaming,15.6,14.0,256,Windows,3.2,13329108.0,IPS Panel Full HD
Dell,Notebook,14.0,8.0,256,Windows,1.6,7638228.0,Full HD
Acer,2 in 1 Convertible,13.3,8.0,256,Windows,1.6,6126588.0,IPS Panel Full HD / Touchscreen
Dell,Notebook,15.6,14.0,256,Linux,2.36,7993908.0,Full HD
Acer,Notebook,15.6,4.0,1,Linux,2.1,3467880.0,IPS Panel Full HD / Touchscreen
Asus,Notebook,15.6,4.0,128,Windows,2.2,5112900.0,Full HD
Asus,Gaming,17.3,14.0,512,Windows,3.5250000000000004,24958343.625,Full HD
Acer,Gaming,15.6,8.0,256,Windows,2.5,7522632.0,IPS Panel Full HD
Lenovo,Notebook,15.6,8.0,128,Windows,2.2,5237388.0,IPS Panel Full HD
Asus,Notebook,17.3,8.0,128,Windows,2.1,10181340.0,Full HD
Asus,Notebook,17.3,8.0,128,MacOS,2.69,7904988.0,Full HD
Dell,Gaming,15.6,8.0,256,Windows,2.56,7816068.0,Full HD
Lenovo,2 in 1 Convertible,13.9,8.0,256,Windows,1.38,9594468.0,IPS Panel Full HD / Touchscreen
Dell,Notebook,15.6,8.0,128,Windows,2.2,8758620.0,Full HD
HP,Notebook,15.6,8.0,1,Windows,2.04,4970628.0,Touchscreen
Asus,Gaming,17.3,14.0,256,Windows,3.5250000000000004,24958343.625,Full HD
HP,Notebook,13.3,4.0,500,Windows,1.49,6002100.0,IPS Panel Full HD
Other Manufacturer,Ultrabook,13.3,8.0,512,MacOS,1.37,18139680.0,IPS Panel Retina Display
Dell,2 in 1 Convertible,15.6,8.0,1,Windows,2.08,7282548.0,IPS Panel Full HD / Touchscreen
Asus,Gaming,17.3,14.0,256,Windows,3.5250000000000004,15996708.0,Full HD
Asus,Notebook,15.6,4.0,1,Windows,1.68,4170348.0,Full HD
Lenovo,2 in 1 Convertible,13.9,8.0,512,Windows,1.37,16441308.0,IPS Panel Full HD / Touchscreen
Acer,Notebook,17.3,4.0,256,Windows,3.0,6242184.0,IPS Panel Full HD
Dell,Ultrabook,13.3,8.0,256,Windows,1.41,8438508.0,Full HD
HP,Notebook,15.6,8.0,128,Windows,1.91,3964943.0,IPS Panel Full HD
HP,Notebook,17.3,14.0,1,Windows,2.9,9416628.0,IPS Panel Full HD
MSI,Gaming,17.3,14.0,512,Windows,3.5250000000000004,22221108.0,Full HD
Lenovo,2 in 1 Convertible,15.6,8.0,512,Windows,2.0,15107508.0,IPS Panel Full HD / Touchscreen
Dell,Notebook,17.3,8.0,128,Windows,2.8,10154664.0,Full HD
Lenovo,Notebook,15.6,4.0,256,MacOS,2.2,3948048.0,Full HD
HP,Notebook,15.6,4.0,500,Windows,2.1,6420024.0,IPS Panel Full HD
Dell,Notebook,15.6,4.0,1,Windows,2.18,5842044.0,Full HD
Dell,Notebook,15.6,8.0,1,Windows,2.24,5023980.0,Full HD
Dell,2 in 1 Convertible,15.6,8.0,256,Windows,2.67,7104708.0,Full HD / Touchscreen
Asus,2 in 1 Convertible,13.3,8.0,512,Windows,1.1,13329108.0,Full HD / Touchscreen
Lenovo,Notebook,15.6,4.0,1,MacOS,2.2,4152564.0,Full HD
HP,Notebook,17.3,8.0,1,Windows,2.5,9052056.0,Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.05,7824960.0,Full HD
Other Manufacturer,Ultrabook,13.3,8.0,512,MacOS,1.37,17418539.0,IPS Panel Retina Display
Asus,Gaming,17.3,14.0,256,Windows,3.2,13773708.0,Full HD
Dell,Notebook,15.6,8.0,256,Linux,2.14,6536242.0,Full HD
Lenovo,2 in 1 Convertible,14.0,14.0,512,Windows,1.36,22221108.0,Touchscreen
Toshiba,Notebook,15.6,8.0,500,Windows,2.2,7220304.0,Full HD
Dell,Notebook,15.6,12.0,1,Windows,2.3,6340618.0,Full HD
Dell,Notebook,17.3,8.0,128,Linux,2.8,9772308.0,Full HD
Acer,Notebook,15.6,8.0,1,Windows,2.2,6624540.0,IPS Panel Full HD
Lenovo,Notebook,17.3,4.0,1,Windows,2.8,4348188.0,Touchscreen
Lenovo,Notebook,17.3,8.0,2,MacOS,2.8,7549308.0,Full HD
Lenovo,Notebook,17.3,6.0,128,Windows,2.8,7638228.0,Full HD
Dell,Notebook,15.6,4.0,1,Linux,2.25,3805776.0,Full HD
Lenovo,Gaming,15.6,8.0,256,Windows,2.5,7371468.0,IPS Panel Full HD
Lenovo,Notebook,15.6,6.0,256,Windows,2.2,5148468.0,Full HD
Acer,Notebook,15.6,8.0,256,Windows,3.0,8456292.0,IPS Panel Full HD
Acer,Notebook,15.6,12.0,1,Windows,2.15,5859828.0,IPS Panel Full HD / Touchscreen
Lenovo,Notebook,15.6,8.0,256,Windows,1.95,9754524.0,IPS Panel Full HD
Asus,Ultrabook,15.6,8.0,256,Windows,1.7,8687484.0,Full HD
Lenovo,Gaming,15.6,14.0,256,Windows,2.5,10483668.0,IPS Panel Full HD
Lenovo,Notebook,15.6,8.0,1,MacOS,2.2,5859917.0,Full HD
Acer,Notebook,15.6,2.0,16,MacOS,2.19,1769508.0,IPS Panel Full HD / Touchscreen
Asus,Gaming,17.3,8.0,1,Windows,3.0,10554804.0,Full HD
HP,Notebook,17.3,8.0,1,Windows,2.54,4348188.0,Full HD
Dell,Notebook,15.6,8.0,256,Windows,2.0,16263468.0,Full HD
Lenovo,Notebook,15.6,8.0,256,Windows,2.05,6571188.0,Full HD
Lenovo,Gaming,15.6,8.0,1,Windows,3.2,11550708.0,IPS Panel Full HD
Acer,Notebook,15.6,8.0,256,Linux,2.5,8705268.0,Full HD
Dell,Workstation,17.3,14.0,256,Windows,3.42,24958343.625,Full HD
Lenovo,Notebook,15.6,6.0,1,Windows,2.4,4437108.0,Full HD
Asus,Ultrabook,15.6,14.0,512,Windows,1.63,13053456.0,Full HD
Asus,Notebook,14.0,4.0,128,Windows,1.3,4526028.0,Full HD
Asus,Gaming,17.3,14.0,256,Windows,2.9,18868824.0,Full HD
Lenovo,Notebook,17.3,6.0,1,Windows,2.8,5770908.0,Full HD
Lenovo,Notebook,15.6,8.0,2,MacOS,2.2,4881708.0,Full HD
Asus,Gaming,15.6,8.0,128,Windows,2.5,11248380.0,Full HD
Lenovo,Notebook,15.6,4.0,1,MacOS,2.2,3201031.0,Full HD
HP,2 in 1 Convertible,13.3,14.0,256,Windows,1.28,17561700.0,Full HD / Touchscreen
Toshiba,Notebook,15.6,8.0,256,Windows,2.2,9274356.0,IPS Panel Full HD
Lenovo,Notebook,15.6,8.0,128,Windows,2.3,7282548.0,Full HD
HP,Notebook,15.6,4.0,1,Windows,1.86,4170348.0,Full HD
Lenovo,Notebook,13.3,8.0,256,Windows,1.1,8883108.0,IPS Panel Full HD
Dell,Ultrabook,13.3,14.0,1,Windows,1.21,22221108.0,Other Screen Name
MSI,Gaming,15.6,14.0,256,Windows,2.8,18664308.0,IPS Panel Full HD
